Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1981","1981","°c","0.925","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1982","1982","°c","0.263","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1983","1983","°c","0.915","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1984","1984","°c","0.008","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1985","1985","°c","-0.617","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1986","1986","°c","-0.223","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1987","1987","°c","0.148","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1988","1988","°c","0.212","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1989","1989","°c","-0.505","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1990","1990","°c","0.148","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1991","1991","°c","0.528","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1992","1992","°c","0.338","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1993","1993","°c","0.287","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1994","1994","°c","0.499","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1995","1995","°c","0.675","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1996","1996","°c","0.455","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1997","1997","°c","0.393","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1998","1998","°c","1.562","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","1999","1999","°c","0.306","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2000","2000","°c","0.017","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2001","2001","°c","0.176","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2002","2002","°c","0.948","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2003","2003","°c","1.464","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2004","2004","°c","0.827","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2005","2005","°c","0.705","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2006","2006","°c","0.594","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2007","2007","°c","0.987","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2008","2008","°c","0.327","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2009","2009","°c","0.481","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2010","2010","°c","1.05","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2011","2011","°c","0.693","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2012","2012","°c","0.563","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2013","2013","°c","1.146","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2014","2014","°c","0.779","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2015","2015","°c","0.926","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2016","2016","°c","1.521","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2017","2017","°c","0.347","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2018","2018","°c","1.05","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2019","2019","°c","1.15","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2020","2020","°c","1.361","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2021","2021","°c","0.882","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2022","2022","°c","0.512","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7001","January","2023","2023","°c","0.346","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1961","1961","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1962","1962","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1963","1963","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1964","1964","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1965","1965","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1966","1966","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1967","1967","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1968","1968","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1969","1969","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1970","1970","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1971","1971","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1972","1972","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1973","1973","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1974","1974","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1975","1975","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1976","1976","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1977","1977","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1978","1978","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1979","1979","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1980","1980","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1981","1981","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1982","1982","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1983","1983","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1984","1984","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1985","1985","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1986","1986","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1987","1987","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1988","1988","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1989","1989","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1990","1990","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1991","1991","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1992","1992","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1993","1993","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1994","1994","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1995","1995","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1996","1996","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1997","1997","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1998","1998","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","1999","1999","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2000","2000","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2001","2001","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2002","2002","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2003","2003","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2004","2004","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2005","2005","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2006","2006","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2007","2007","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2008","2008","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2009","2009","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2010","2010","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2011","2011","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2012","2012","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2013","2013","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2014","2014","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2015","2015","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2016","2016","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2017","2017","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2018","2018","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2019","2019","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2020","2020","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2021","2021","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2022","2022","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7001","January","2023","2023","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1961","1961","°c","-0.082","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1962","1962","°c","-0.332","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1963","1963","°c","-0.109","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1964","1964","°c","0.678","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1965","1965","°c","-0.641","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1966","1966","°c","0.294","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1967","1967","°c","-0.211","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1968","1968","°c","-0.152","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1969","1969","°c","0.359","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1970","1970","°c","0.354","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1971","1971","°c","-0.479","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1972","1972","°c","-0.406","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1973","1973","°c","0.799","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1974","1974","°c","-0.445","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1975","1975","°c","-0.315","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1976","1976","°c","-0.825","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1977","1977","°c","0.622","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1978","1978","°c","0.901","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1979","1979","°c","0.501","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1980","1980","°c","0.481","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1981","1981","°c","0.783","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1982","1982","°c","0.219","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1983","1983","°c","0.9","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1984","1984","°c","0.203","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1985","1985","°c","-0.533","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1986","1986","°c","-0.369","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1987","1987","°c","0.642","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1988","1988","°c","0.34","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1989","1989","°c","-0.655","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1990","1990","°c","-0.131","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1991","1991","°c","0.97","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1992","1992","°c","0.631","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1993","1993","°c","0.661","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1994","1994","°c","0.194","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1995","1995","°c","0.767","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1996","1996","°c","0.562","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1997","1997","°c","-0.117","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1998","1998","°c","2.04","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","1999","1999","°c","-0.054","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2000","2000","°c","-0.186","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2001","2001","°c","0.039","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2002","2002","°c","0.919","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2003","2003","°c","1.124","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2004","2004","°c","0.726","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2005","2005","°c","0.62","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2006","2006","°c","0.414","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2007","2007","°c","0.825","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2008","2008","°c","0.058","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2009","2009","°c","0.104","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2010","2010","°c","2.196","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2011","2011","°c","0.602","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2012","2012","°c","0.225","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2013","2013","°c","0.543","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2014","2014","°c","0.509","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2015","2015","°c","0.757","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2016","2016","°c","1.498","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2017","2017","°c","-0.496","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2018","2018","°c","0.331","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2019","2019","°c","1.085","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2020","2020","°c","1.462","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2021","2021","°c","0.988","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2022","2022","°c","0.758","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","7271","Temperature change","7002","February","2023","2023","°c","0.318","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7002","February","1961","1961","°c","0.495","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7002","February","1962","1962","°c","0.495","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7002","February","1963","1963","°c","0.495","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7002","February","1964","1964","°c","0.495","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7002","February","1965","1965","°c","0.495","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7002","February","1966","1966","°c","0.495","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7002","February","1967","1967","°c","0.495","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7002","February","1968","1968","°c","0.495","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7002","February","1969","1969","°c","0.495","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7002","February","1970","1970","°c","0.495","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7002","February","1971","1971","°c","0.495","E","Estimated value"
"ET","Temperature change on land","862","Venezuela (Bolivarian Republic of)","6078","Standard Deviation","7002","February","1972","1972","°c","0.495","E","Estimated value"
